dec_year,basis,weights,node,item,cpi_u,source
1987,new,,headline,ALL ITEMS,100.0,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,core,ALL ITEMS LESS FOOD AND ENERGY,76.327,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,food,FOOD,16.055,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,energy,ENERGY,7.618,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,core_goods,COMMODITIES LESS FOOD AND ENERGY,25.76,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,core_services,SERVICES LESS ENERGY,50.567,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,commodities,COMMODITIES,45.531,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,services,SERVICES,54.469,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,food_home,FOOD AT HOME,9.864,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,food_away,FOOD AWAY FROM HOME,6.192,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,energy_cmdty,ENERGY COMMODITIES,3.716,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,energy_svc,(derived) Energy - Energy commodities,3.902,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,rent_shelter,RENT OF SHELTER,27.151,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,svc_less_ros,SERVICES LESS RENT OF SHELTER,27.318,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1988,new,,headline,ALL ITEMS,100.0,ri-archive-1987-1989/1987-1989_RI_archive/1988.txt
1988,new,,core,ALL ITEMS LESS FOOD AND ENERGY,76.499,ri-archive-1987-1989/1987-1989_RI_archive/1988.txt
1988,new,,food,FOOD,16.171,ri-archive-1987-1989/1987-1989_RI_archive/1988.txt
1988,new,,energy,ENERGY,7.33,ri-archive-1987-1989/1987-1989_RI_archive/1988.txt
1988,new,,core_goods,COMMODITIES LESS FOOD AND ENERGY,25.65,ri-archive-1987-1989/1987-1989_RI_archive/1988.txt
1988,new,,core_services,SERVICES LESS ENERGY,50.849,ri-archive-1987-1989/1987-1989_RI_archive/1988.txt
1988,new,,commodities,COMMODITIES,45.298,ri-archive-1987-1989/1987-1989_RI_archive/1988.txt
1988,new,,services,SERVICES,54.702,ri-archive-1987-1989/1987-1989_RI_archive/1988.txt
1988,new,,food_home,FOOD AT HOME,9.98,ri-archive-1987-1989/1987-1989_RI_archive/1988.txt
1988,new,,food_away,FOOD AWAY FROM HOME,6.192,ri-archive-1987-1989/1987-1989_RI_archive/1988.txt
1988,new,,energy_cmdty,ENERGY COMMODITIES,3.477,ri-archive-1987-1989/1987-1989_RI_archive/1988.txt
1988,new,,energy_svc,(derived) Energy - Energy commodities,3.853,ri-archive-1987-1989/1987-1989_RI_archive/1988.txt
1988,new,,rent_shelter,RENT OF SHELTER,27.177,ri-archive-1987-1989/1987-1989_RI_archive/1988.txt
1988,new,,svc_less_ros,SERVICES LESS RENT OF SHELTER,27.525,ri-archive-1987-1989/1987-1989_RI_archive/1988.txt
1989,new,,headline,ALL ITEMS,100.0,ri-archive-1987-1989/1987-1989_RI_archive/1989.txt
1989,new,,core,ALL ITEMS LESS FOOD AND ENERGY,76.315,ri-archive-1987-1989/1987-1989_RI_archive/1989.txt
1989,new,,food,FOOD,16.318,ri-archive-1987-1989/1987-1989_RI_archive/1989.txt
1989,new,,energy,ENERGY,7.366,ri-archive-1987-1989/1987-1989_RI_archive/1989.txt
1989,new,,core_goods,COMMODITIES LESS FOOD AND ENERGY,25.188,ri-archive-1987-1989/1987-1989_RI_archive/1989.txt
1989,new,,core_services,SERVICES LESS ENERGY,51.127,ri-archive-1987-1989/1987-1989_RI_archive/1989.txt
1989,new,,commodities,COMMODITIES,45.088,ri-archive-1987-1989/1987-1989_RI_archive/1989.txt
1989,new,,services,SERVICES,54.912,ri-archive-1987-1989/1987-1989_RI_archive/1989.txt
1989,new,,food_home,FOOD AT HOME,10.129,ri-archive-1987-1989/1987-1989_RI_archive/1989.txt
1989,new,,food_away,FOOD AWAY FROM HOME,6.189,ri-archive-1987-1989/1987-1989_RI_archive/1989.txt
1989,new,,energy_cmdty,ENERGY COMMODITIES,3.581,ri-archive-1987-1989/1987-1989_RI_archive/1989.txt
1989,new,,energy_svc,(derived) Energy - Energy commodities,3.785,ri-archive-1987-1989/1987-1989_RI_archive/1989.txt
1989,new,,rent_shelter,RENT OF SHELTER,27.263,ri-archive-1987-1989/1987-1989_RI_archive/1989.txt
1989,new,,svc_less_ros,SERVICES LESS RENT OF SHELTER,27.649,ri-archive-1987-1989/1987-1989_RI_archive/1989.txt
1990,new,,headline,ALL ITEMS,100.0,ri-archive-1990-1999/1990-1999_RI_archive/1990.txt
1990,new,,core,ALL ITEMS LESS FOOD AND ENERGY,75.622,ri-archive-1990-1999/1990-1999_RI_archive/1990.txt
1990,new,,food,FOOD,16.188,ri-archive-1990-1999/1990-1999_RI_archive/1990.txt
1990,new,,energy,ENERGY,8.191,ri-archive-1990-1999/1990-1999_RI_archive/1990.txt
1990,new,,core_goods,COMMODITIES LESS FOOD AND ENERGY,24.528,ri-archive-1990-1999/1990-1999_RI_archive/1990.txt
1990,new,,core_services,SERVICES LESS ENERGY,51.093,ri-archive-1990-1999/1990-1999_RI_archive/1990.txt
1990,new,,commodities,COMMODITIES,45.287,ri-archive-1990-1999/1990-1999_RI_archive/1990.txt
1990,new,,services,SERVICES,54.713,ri-archive-1990-1999/1990-1999_RI_archive/1990.txt
1990,new,,food_home,FOOD AT HOME,10.094,ri-archive-1990-1999/1990-1999_RI_archive/1990.txt
1990,new,,food_away,FOOD AWAY FROM HOME,6.094,ri-archive-1990-1999/1990-1999_RI_archive/1990.txt
1990,new,,energy_cmdty,ENERGY COMMODITIES,4.571,ri-archive-1990-1999/1990-1999_RI_archive/1990.txt
1990,new,,energy_svc,(derived) Energy - Energy commodities,3.62,ri-archive-1990-1999/1990-1999_RI_archive/1990.txt
1990,new,,rent_shelter,RENT OF SHELTER,27.035,ri-archive-1990-1999/1990-1999_RI_archive/1990.txt
1990,new,,svc_less_ros,SERVICES LESS RENT OF SHELTER,27.678,ri-archive-1990-1999/1990-1999_RI_archive/1990.txt
1991,new,,headline,ALL ITEMS,100.0,ri-archive-1990-1999/1990-1999_RI_archive/1991.txt
1991,new,,core,ALL ITEMS LESS FOOD AND ENERGY,76.633,ri-archive-1990-1999/1990-1999_RI_archive/1991.txt
1991,new,,food,FOOD,16.007,ri-archive-1990-1999/1990-1999_RI_archive/1991.txt
1991,new,,energy,ENERGY,7.361,ri-archive-1990-1999/1990-1999_RI_archive/1991.txt
1991,new,,core_goods,COMMODITIES LESS FOOD AND ENERGY,24.757,ri-archive-1990-1999/1990-1999_RI_archive/1991.txt
1991,new,,core_services,SERVICES LESS ENERGY,51.876,ri-archive-1990-1999/1990-1999_RI_archive/1991.txt
1991,new,,commodities,COMMODITIES,44.487,ri-archive-1990-1999/1990-1999_RI_archive/1991.txt
1991,new,,services,SERVICES,55.513,ri-archive-1990-1999/1990-1999_RI_archive/1991.txt
1991,new,,food_home,FOOD AT HOME,9.921,ri-archive-1990-1999/1990-1999_RI_archive/1991.txt
1991,new,,food_away,FOOD AWAY FROM HOME,6.085,ri-archive-1990-1999/1990-1999_RI_archive/1991.txt
1991,new,,energy_cmdty,ENERGY COMMODITIES,3.723,ri-archive-1990-1999/1990-1999_RI_archive/1991.txt
1991,new,,energy_svc,(derived) Energy - Energy commodities,3.638,ri-archive-1990-1999/1990-1999_RI_archive/1991.txt
1991,new,,rent_shelter,RENT OF SHELTER,27.273,ri-archive-1990-1999/1990-1999_RI_archive/1991.txt
1991,new,,svc_less_ros,SERVICES LESS RENT OF SHELTER,28.241,ri-archive-1990-1999/1990-1999_RI_archive/1991.txt
1992,new,,headline,ALL ITEMS,100.0,ri-archive-1990-1999/1990-1999_RI_archive/1992.txt
1992,new,,core,ALL ITEMS LESS FOOD AND ENERGY,76.929,ri-archive-1990-1999/1990-1999_RI_archive/1992.txt
1992,new,,food,FOOD,15.777,ri-archive-1990-1999/1990-1999_RI_archive/1992.txt
1992,new,,energy,ENERGY,7.294,ri-archive-1990-1999/1990-1999_RI_archive/1992.txt
1992,new,,core_goods,COMMODITIES LESS FOOD AND ENERGY,24.656,ri-archive-1990-1999/1990-1999_RI_archive/1992.txt
1992,new,,core_services,SERVICES LESS ENERGY,52.273,ri-archive-1990-1999/1990-1999_RI_archive/1992.txt
1992,new,,commodities,COMMODITIES,44.095,ri-archive-1990-1999/1990-1999_RI_archive/1992.txt
1992,new,,services,SERVICES,55.905,ri-archive-1990-1999/1990-1999_RI_archive/1992.txt
1992,new,,food_home,FOOD AT HOME,9.78,ri-archive-1990-1999/1990-1999_RI_archive/1992.txt
1992,new,,food_away,FOOD AWAY FROM HOME,5.997,ri-archive-1990-1999/1990-1999_RI_archive/1992.txt
1992,new,,energy_cmdty,ENERGY COMMODITIES,3.662,ri-archive-1990-1999/1990-1999_RI_archive/1992.txt
1992,new,,energy_svc,(derived) Energy - Energy commodities,3.632,ri-archive-1990-1999/1990-1999_RI_archive/1992.txt
1992,new,,rent_shelter,RENT OF SHELTER,27.263,ri-archive-1990-1999/1990-1999_RI_archive/1992.txt
1992,new,,svc_less_ros,SERVICES LESS RENT OF SHELTER,28.642,ri-archive-1990-1999/1990-1999_RI_archive/1992.txt
1993,new,,headline,ALL ITEMS,100.0,ri-archive-1990-1999/1990-1999_RI_archive/1993.txt
1993,new,,core,ALL ITEMS LESS FOOD AND ENERGY,77.208,ri-archive-1990-1999/1990-1999_RI_archive/1993.txt
1993,new,,food,FOOD,15.799,ri-archive-1990-1999/1990-1999_RI_archive/1993.txt
1993,new,,energy,ENERGY,6.993,ri-archive-1990-1999/1990-1999_RI_archive/1993.txt
1993,new,,core_goods,COMMODITIES LESS FOOD AND ENERGY,24.369,ri-archive-1990-1999/1990-1999_RI_archive/1993.txt
1993,new,,core_services,SERVICES LESS ENERGY,52.839,ri-archive-1990-1999/1990-1999_RI_archive/1993.txt
1993,new,,commodities,COMMODITIES,43.547,ri-archive-1990-1999/1990-1999_RI_archive/1993.txt
1993,new,,services,SERVICES,56.453,ri-archive-1990-1999/1990-1999_RI_archive/1993.txt
1993,new,,food_home,FOOD AT HOME,9.853,ri-archive-1990-1999/1990-1999_RI_archive/1993.txt
1993,new,,food_away,FOOD AWAY FROM HOME,5.946,ri-archive-1990-1999/1990-1999_RI_archive/1993.txt
1993,new,,energy_cmdty,ENERGY COMMODITIES,3.38,ri-archive-1990-1999/1990-1999_RI_archive/1993.txt
1993,new,,energy_svc,(derived) Energy - Energy commodities,3.613,ri-archive-1990-1999/1990-1999_RI_archive/1993.txt
1993,new,,rent_shelter,RENT OF SHELTER,27.337,ri-archive-1990-1999/1990-1999_RI_archive/1993.txt
1993,new,,svc_less_ros,SERVICES LESS RENT OF SHELTER,29.116,ri-archive-1990-1999/1990-1999_RI_archive/1993.txt
1994,new,,headline,ALL ITEMS,100.0,ri-archive-1990-1999/1990-1999_RI_archive/1994.txt
1994,new,,core,ALL ITEMS LESS FOOD AND ENERGY,77.197,ri-archive-1990-1999/1990-1999_RI_archive/1994.txt
1994,new,,food,FOOD,15.838,ri-archive-1990-1999/1990-1999_RI_archive/1994.txt
1994,new,,energy,ENERGY,6.965,ri-archive-1990-1999/1990-1999_RI_archive/1994.txt
1994,new,,core_goods,COMMODITIES LESS FOOD AND ENERGY,24.082,ri-archive-1990-1999/1990-1999_RI_archive/1994.txt
1994,new,,core_services,SERVICES LESS ENERGY,53.115,ri-archive-1990-1999/1990-1999_RI_archive/1994.txt
1994,new,,commodities,COMMODITIES,43.386,ri-archive-1990-1999/1990-1999_RI_archive/1994.txt
1994,new,,services,SERVICES,56.614,ri-archive-1990-1999/1990-1999_RI_archive/1994.txt
1994,new,,food_home,FOOD AT HOME,9.934,ri-archive-1990-1999/1990-1999_RI_archive/1994.txt
1994,new,,food_away,FOOD AWAY FROM HOME,5.904,ri-archive-1990-1999/1990-1999_RI_archive/1994.txt
1994,new,,energy_cmdty,ENERGY COMMODITIES,3.466,ri-archive-1990-1999/1990-1999_RI_archive/1994.txt
1994,new,,energy_svc,(derived) Energy - Energy commodities,3.499,ri-archive-1990-1999/1990-1999_RI_archive/1994.txt
1994,new,,rent_shelter,RENT OF SHELTER,27.422,ri-archive-1990-1999/1990-1999_RI_archive/1994.txt
1994,new,,svc_less_ros,SERVICES LESS RENT OF SHELTER,29.192,ri-archive-1990-1999/1990-1999_RI_archive/1994.txt
1995,new,,headline,ALL ITEMS,100.0,ri-archive-1990-1999/1990-1999_RI_archive/1995.txt
1995,new,,core,ALL ITEMS LESS FOOD AND ENERGY,77.534,ri-archive-1990-1999/1990-1999_RI_archive/1995.txt
1995,new,,food,FOOD,15.766,ri-archive-1990-1999/1990-1999_RI_archive/1995.txt
1995,new,,energy,ENERGY,6.7,ri-archive-1990-1999/1990-1999_RI_archive/1995.txt
1995,new,,core_goods,COMMODITIES LESS FOOD AND ENERGY,23.885,ri-archive-1990-1999/1990-1999_RI_archive/1995.txt
1995,new,,core_services,SERVICES LESS ENERGY,53.648,ri-archive-1990-1999/1990-1999_RI_archive/1995.txt
1995,new,,commodities,COMMODITIES,42.916,ri-archive-1990-1999/1990-1999_RI_archive/1995.txt
1995,new,,services,SERVICES,57.084,ri-archive-1990-1999/1990-1999_RI_archive/1995.txt
1995,new,,food_home,FOOD AT HOME,9.88,ri-archive-1990-1999/1990-1999_RI_archive/1995.txt
1995,new,,food_away,FOOD AWAY FROM HOME,5.886,ri-archive-1990-1999/1990-1999_RI_archive/1995.txt
1995,new,,energy_cmdty,ENERGY COMMODITIES,3.264,ri-archive-1990-1999/1990-1999_RI_archive/1995.txt
1995,new,,energy_svc,(derived) Energy - Energy commodities,3.436,ri-archive-1990-1999/1990-1999_RI_archive/1995.txt
1995,new,,rent_shelter,RENT OF SHELTER,27.671,ri-archive-1990-1999/1990-1999_RI_archive/1995.txt
1995,new,,svc_less_ros,SERVICES LESS RENT OF SHELTER,29.414,ri-archive-1990-1999/1990-1999_RI_archive/1995.txt
1996,new,,headline,ALL ITEMS,100.0,ri-archive-1990-1999/1990-1999_RI_archive/1996.txt
