dec_year,basis,weights,indent,item,cpi_u,cpi_w,source
1987,new,,0,COMMODITIES,45.531,49.44,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,ENERGY COMMODITIES,3.716,4.418,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,COMMODITIES LESS FOOD,29.476,31.648,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,COMMODITIES LESS FOOD AND ENERGY,25.76,27.23,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,"COMMODITIES LESS FOOD, ENERGY, & UCR",24.447,24.884,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,COMMODITIES LESS FOOD & BEVERAGES,27.924,29.991,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,DURABLES,11.868,12.972,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,NONDURABLES,33.663,36.468,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,NONDURABLES LESS FOOD,17.608,18.676,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,NONDURABLES LESS FOOD AND BEVERAGES,16.056,17.019,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,"NONDURABLES LESS FOOD, BVRGS, APPAREL",10.284,11.185,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,NONDURABLES LESS FOOD AND APPAREL,11.835,12.842,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,DOMESTICALLY PRODUCED FARM FOODS,8.584,9.697,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,SELECTED BEEF CUTS,0.707,0.867,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,SERVICES,54.469,50.56,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,SERVICES LESS ENERGY,50.567,46.528,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,SERVICES LESS RENT OF SHELTER,27.318,25.631,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,SERVICES LESS MEDICAL CARE,49.754,46.528,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,HOUSEHOLD SER LESS RENT OF SHELTER,9.359,9.138,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,RENT OF SHELTER,27.151,24.93,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,"HOUSEKEEPING, HOME MAINTENANCE SER",1.644,1.252,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,UTILITIES AND PUBLIC TRANSPORTATION,8.72,8.623,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,OTHER SERVICES,6.599,5.663,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,TRANSPORTATION SERVICES,6.646,6.797,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,MEDICAL CARE SERVICES LESS HEALTH INS,4.534,3.892,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,ALL ITEMS,100.0,100.0,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,ENERGY,7.618,8.449,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,ALL ITEMS LESS ENERGY,92.382,91.551,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,ALL ITEMS LESS FOOD,83.945,82.208,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,ALL ITEMS LESS FOOD AND ENERGY,76.327,73.759,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,ALL ITEMS LESS FOOD AND SHELTER,56.129,56.695,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,"ALL ITEMS LESS FOOD,SHEL,AND ENERGY",48.511,48.245,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,"ALL ITEMS LESS FOOD,SHEL,ENRGY & UCR",47.198,45.899,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,ALL ITEMS LESS SHELTER,72.184,74.487,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,ALL ITEMS LESS HOMEOWNERS' COSTS,80.327,82.818,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,ALL ITEMS LESS MEDICAL CARE,94.172,95.053,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,FOOD AND BEVERAGES,17.607,19.449,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,FOOD,16.055,17.792,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,FOOD AT HOME,9.864,11.138,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,CEREALS AND BAKERY PRODUCTS,1.351,1.535,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,"MEATS, POULTRY, FISH AND EGGS",3.035,3.546,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,"MEATS, POULTRY, AND FISH",2.887,3.373,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,MEATS,2.067,2.48,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,DAIRY PRODUCTS,1.229,1.357,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,FRUITS AND VEGETABLES,1.787,1.884,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,FRESH FRUITS AND VEGETABLES,1.149,1.206,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,PROCESSED FRUITS AND VEGETABLES,0.638,0.678,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,OTHER FOOD AT HOME,2.462,2.816,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,HOUSING,42.479,39.949,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,SHELTER,27.816,25.513,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,RENTERS' COSTS,7.924,8.124,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,OTHER RENTERS' COSTS,1.894,1.251,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,MAINTENANCE AND REPAIRS,0.22,0.207,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,HOUSEHOLD FUELS AND OTHER UTILITIES,7.695,7.897,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,HOUSEHOLD FUELS,4.328,4.419,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,HOUSEHOLD FURNISHINGS & OPERATION,6.968,6.539,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,HOUSEFURNISHINGS,4.262,4.173,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,APPLIANCES & ELECTRONIC EQUIPMENT,1.22,1.268,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,APPAREL AND UPKEEP,6.335,6.358,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,APPAREL COMMODITIES,5.772,5.834,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,APPAREL COMMODITIES LESS FOOTWEAR,4.931,4.907,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,MEN'S AND BOY'S APPAREL,1.524,1.52,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,WOMEN'S AND GIRL'S APPAREL,2.637,2.592,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,OTHER APPAREL COMMODITIES,0.54,0.498,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,TRANSPORTATION,17.451,19.411,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,PRIVATE TRANSPORTATION,16.0,18.299,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,OTHER PRIVATE TRANSPORTATION,4.411,5.032,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,OTHER PRIVATE TRANS. COMMODITIES,0.749,0.946,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,OTH PRIVATE TRANS. SERVICES,3.662,4.086,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,MEDICAL CARE,5.828,4.947,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,MEDICAL CARE LESS HEALTH INSURANCE,5.648,4.807,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,MEDICAL CARE COMMODITIES,1.114,0.915,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,MEDICAL CARE SERVICES,4.715,4.032,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
1987,new,,0,ENTERTAINMENT,4.368,4.044,ri-archive-1987-1989/1987-1989_RI_archive/1987.txt
