date,headline,core,contrib_food,contrib_energy,contrib_core_goods,contrib_core_services,weight_food,weight_energy,weight_core_goods,weight_core_services,residual,span_months
1991-01,0.372578,0.649351,0.048107,-0.184482,0.214986,0.314741,16.188,8.191,24.528,51.093,-0.02077449,1
1991-02,0.074239,0.501792,0.012062,-0.291998,0.13546,0.209152,16.2836,7.9205,24.499,51.2422,0.00956333,1
1991-03,0.0,0.21398,0.024017,-0.188871,0.03886,0.17427,16.2236,7.5912,24.7346,51.4444,-0.04827592,1
1991-04,0.222552,0.284698,0.095996,-0.0505,0.077971,0.104406,16.2354,7.3514,24.8532,51.5419,-0.0053216,1
1991-05,0.370096,0.283889,0.059952,0.06515,0.077915,0.173402,16.3188,7.3258,24.9133,51.4656,-0.00632194,1
1991-06,0.294985,0.353857,0.095359,-0.073408,0.038752,0.172426,16.2826,7.495,24.8591,51.3484,0.06185722,1
1991-07,0.147059,0.352609,-0.082951,-0.029972,0.096144,0.206443,16.2822,7.5754,24.709,51.4042,-0.04260438,1
1991-08,0.293686,0.421644,-0.059163,0.029815,0.095482,0.206692,16.1753,7.5058,24.6342,51.673,0.0208611,1
1991-09,0.292826,0.349895,0.023596,0.029667,0.057167,0.206086,16.0689,7.4984,24.6772,51.7276,-0.02369089,1
1991-10,0.145985,0.209205,-0.023458,0.007405,0.01909,0.13679,15.9986,7.5164,24.7792,51.7065,0.0061585,1
1991-11,0.437318,0.347947,0.05856,0.058072,0.095679,0.20502,15.9518,7.3751,24.8575,51.8018,0.01998616,1
1991-12,0.290276,0.346741,0.035009,0.050269,0.03816,0.204022,15.9524,7.3537,24.8804,51.7535,-0.03718425,1
1992-01,0.072359,0.276434,-0.046735,-0.114234,0.037912,0.16975,16.0068,7.3609,24.7568,51.8755,0.02566584,1
1992-02,0.21692,0.206754,0.058719,-0.021341,0.037742,0.135958,16.0421,7.2204,24.683,52.1061,0.00584165,1
1992-03,0.36075,0.343879,0.058422,0.0,0.075615,0.203466,16.0192,7.1153,24.764,52.1212,0.02324756,1
1992-04,0.215672,0.27416,-0.011634,0.013977,0.056727,0.168811,16.0083,7.0724,24.8465,52.095,-0.01220884,1
1992-05,0.215208,0.341763,-0.034877,0.042042,0.094409,0.134506,15.9853,7.1051,24.8672,52.0539,-0.02087188,1
1992-06,0.286328,0.20436,0.046302,0.093061,0.037623,0.133967,15.8815,7.3017,24.8691,51.9794,-0.02462624,1
1992-07,0.28551,0.339905,-0.023001,0.029136,0.07464,0.166971,15.8249,7.5244,24.7057,51.9613,0.03776529,1
1992-08,0.213523,0.203252,0.11476,-0.014495,0.018536,0.133549,15.7681,7.5154,24.6156,52.1174,-0.03882761,1
1992-09,0.213068,0.135227,0.057135,0.0072,0.055492,0.066627,15.815,7.4516,24.5829,52.136,0.02661397,1
1992-10,0.42523,0.472654,0.0,0.050445,0.055586,0.298974,15.8274,7.4658,24.6802,52.0548,0.02022523,1
1992-11,0.282287,0.268817,-0.022676,0.056308,0.037065,0.198613,15.7488,7.3411,24.741,52.1689,0.01297726,1
1992-12,0.140746,0.268097,0.011339,0.01395,0.055561,0.131971,15.7266,7.3308,24.7615,52.1946,-0.07207452,1
1993-01,0.35137,0.334225,0.0341,-0.020781,0.0368,0.230713,15.777,7.294,24.656,52.273,0.07053771,1
1993-02,0.210084,0.333111,0.05688,-0.048155,0.07313,0.164401,15.8241,7.2233,24.535,52.3781,-0.03617135,1
1993-03,0.139762,0.132802,0.0,0.040927,0.018314,0.065654,15.7801,7.1145,24.6505,52.4572,0.01486784,1
1993-04,0.348918,0.397878,0.045122,0.0,0.07338,0.229273,15.7476,7.1105,24.7106,52.4051,0.00114413,1
1993-05,0.278164,0.264201,0.112571,-0.040795,0.018307,0.195363,15.7599,7.1323,24.7329,52.3247,-0.00728176,1
1993-06,0.069348,0.197628,-0.044806,-0.027659,0.0,0.162274,15.794,7.2122,24.6441,52.3497,-0.020461,1
1993-07,0.1386,0.131492,0.0,-0.035357,0.018095,0.09723,15.6939,7.3471,24.4649,52.4395,0.05863107,1
1993-08,0.207612,0.328299,0.055771,0.0,0.054045,0.162452,15.6827,7.2988,24.3742,52.6668,-0.06465459,1
1993-09,0.138122,0.065445,0.03337,-0.027997,-0.071915,0.162102,15.6951,7.2374,24.3792,52.7156,0.04256187,1
1993-10,0.413793,0.327011,0.066603,0.161277,0.072139,0.129255,15.696,7.2224,24.383,52.7036,-0.01547978,1
1993-11,0.274725,0.325945,0.033141,-0.061592,0.072107,0.193202,15.6868,7.2063,24.4443,52.6474,0.037868,1
1993-12,0.205479,0.259909,0.055198,-0.047506,0.018014,0.192716,15.7092,7.0852,24.4994,52.7078,-0.01294196,1
1994-01,0.0,0.129618,0.011064,-0.060691,-0.017905,0.128328,15.799,6.993,24.369,52.839,-0.06079496,1
1994-02,0.273411,0.194175,-0.022206,0.087244,-0.03566,0.192433,15.8662,6.899,24.2486,52.951,0.05160044,1
1994-03,0.272665,0.322997,0.0,0.013301,0.053543,0.192124,15.7241,6.9229,24.2373,53.0582,0.01369741,1
1994-04,0.067981,0.128783,0.033014,-0.039651,0.035784,0.095735,15.7036,6.8927,24.3507,53.0691,-0.05690033,1
1994-05,0.203804,0.257235,0.032946,-0.059798,0.107282,0.063622,15.7042,6.8901,24.3709,52.9971,0.05975257,1
1994-06,0.271186,0.320718,0.054796,0.020271,0.124802,0.127005,15.7045,6.9462,24.4077,52.9612,-0.05568712,1
1994-07,0.338066,0.191816,0.087073,0.096561,0.017652,0.126652,15.6514,7.1111,24.2898,52.9407,0.01012687,1
1994-08,0.404313,0.255265,0.054237,0.150857,-0.017528,0.221308,15.6854,7.1657,24.1361,52.9875,-0.00456145,1
1994-09,0.201342,0.254615,0.021623,-0.040771,0.05241,0.126027,15.6872,7.2504,24.0389,53.0259,0.04205308,1
1994-10,0.066979,0.190476,0.0,-0.027186,0.0,0.157019,15.6668,7.211,24.1323,52.9781,-0.06285363,1
1994-11,0.267738,0.253485,0.032326,0.026666,0.017564,0.156913,15.6563,7.0464,24.2212,53.0995,0.03426881,1
1994-12,0.200267,0.063211,0.12913,-0.013252,0.0,0.093911,15.6678,7.0303,24.2064,53.1225,-0.00952199,1
1995-01,0.266489,0.442198,-0.010789,-0.013154,0.034901,0.249953,15.838,6.965,24.082,53.115,0.00557736,1
1995-02,0.265781,0.251572,0.064826,0.006532,0.034737,0.155964,15.85,6.9041,24.0033,53.2773,0.00372185,1
1995-03,0.198807,0.313676,-0.021421,-0.019405,0.034725,0.217989,15.7763,6.8436,24.0294,53.3451,-0.0130806,1
1995-04,0.396825,0.312695,0.106894,0.006434,0.03481,0.186229,15.7242,6.7881,24.1231,53.3856,0.06245808,1
1995-05,0.197628,0.187032,0.010654,0.012901,0.03472,0.154411,15.7787,6.8117,24.0954,53.3025,-0.01505671,1
1995-06,0.197239,0.248911,0.010619,0.059166,0.017288,0.153839,15.737,6.9553,24.0307,53.2591,-0.04367332,1
1995-07,0.131234,0.18622,0.021124,-0.060204,0.017155,0.122829,15.6637,7.1375,23.8632,53.308,0.03032825,1
1995-08,0.196592,0.247831,0.010562,-0.013344,0.102414,0.092281,15.6849,7.0591,23.7601,53.5232,0.00467891,1
1995-09,0.130804,0.247219,0.052744,-0.099362,0.0,0.184291,15.6755,6.9951,23.8008,53.5365,-0.00686846,1
1995-10,0.261267,0.308261,0.042113,0.019894,0.051268,0.183614,15.6976,6.9034,23.891,53.5235,-0.03562223,1
1995-11,0.130293,0.184388,0.010501,-0.064854,0.034189,0.122081,15.699,6.7708,23.9496,53.5629,0.02837644,1
1995-12,0.130124,0.06135,0.031503,0.064458,0.017106,0.060976,15.7093,6.665,23.9993,53.6283,-0.04391856,1
1996-01,0.519818,0.367872,0.052589,0.160442,0.068049,0.182789,15.7662,6.7001,23.8852,53.6485,0.05594893,1
1996-02,0.193924,0.183262,0.041993,0.012667,0.016901,0.182034,15.7893,6.7706,23.7969,53.609,-0.0596715,1
1996-03,0.322581,0.243902,0.062536,0.075545,0.050684,0.121238,15.7175,6.7423,23.8046,53.7386,0.01257812,1
1996-04,0.385852,0.121655,0.062297,0.18167,-0.016903,0.090511,15.7197,6.7844,23.8673,53.613,0.06827649,1
1996-05,0.192184,0.243013,-0.01035,0.050409,0.0,0.210146,15.7316,7.0068,23.7925,53.4371,-0.05802058,1
1996-06,0.191816,0.242424,0.103164,-0.108948,0.0,0.149397,15.6706,7.1778,23.6967,53.3946,0.04820307,1
1996-07,0.191449,0.181378,0.051414,-0.01303,0.016701,0.149386,15.7224,7.1859,23.5646,53.54,-0.01302241,1
1996-08,0.127389,0.18105,0.05135,-0.025919,-0.016574,0.149433,15.754,7.1341,23.4028,53.7064,-0.03090157,1
1996-09,0.318066,0.301205,0.071753,0.006439,0.082772,0.149148,15.7753,7.0635,23.3582,53.753,0.00795494,1
1996-10,0.317058,0.18018,0.092081,0.044929,0.0,0.148511,15.8174,7.0475,23.4667,53.6717,0.03153725,1
1996-11,0.316056,0.239808,0.061154,0.081762,0.033181,0.148042,15.849,6.9497,23.4919,53.6503,-0.00808197,1
1996-12,0.252048,0.119617,0.020333,0.131001,0.0,0.118014,15.8699,6.9743,23.4804,53.6079,-0.01730049,1
1997-01,0.188561,0.238949,-0.040724,0.080454,0.032953,0.1179,15.913,7.049,23.364,53.674,-0.00202252,1
1997-02,0.188206,0.178784,0.061129,-0.012319,0.049205,0.08839,15.8833,7.0957,23.2906,53.7706,0.00180048,1
1997-03,0.062617,0.178465,0.010117,-0.1228,-0.016397,0.176612,15.8335,7.061,23.3325,53.8079,0.01508486,1
1997-04,0.062578,0.296912,-0.010092,-0.122567,0.065837,0.146888,15.804,6.925,23.4051,53.8786,-0.01748781,1
1997-05,0.0,0.17762,0.010086,-0.135603,0.01645,0.117236,15.7843,6.8418,23.4576,53.8991,-0.00816898,1
1997-06,0.187617,0.118203,0.030257,0.075439,-0.049277,0.146318,15.7942,6.8398,23.4395,53.9328,-0.01511963,1
1997-07,0.124844,0.177096,0.030161,-0.057113,0.0,0.146136,15.7745,6.9805,23.2306,54.0118,0.00565948,1
1997-08,0.249377,0.058928,0.050239,0.114103,-0.032426,0.087714,15.795,6.9159,23.0874,54.1783,0.02974693,1
1997-09,0.248756,0.235571,0.030106,0.09429,0.016171,0.116797,15.8258,6.9711,22.9955,54.1939,-0.008608,1
1997-10,0.186104,0.235018,0.030032,-0.037582,0.016211,0.174573,15.8166,7.0404,23.0684,54.1176,0.00287086,1
1997-11,0.123839,0.117233,0.029957,-0.024597,0.0,0.116156,15.8074,6.875,23.1247,54.1868,0.00232314,1
1997-12,0.061843,0.234192,0.009992,-0.098095,0.0,0.144974,15.8472,6.8299,23.1553,54.2203,0.00497198,1
1998-01,0.123609,0.233645,0.077258,-0.146903,0.033782,0.171546,15.326,7.013,24.053,53.608,-0.01207368,1
1998-02,0.0,0.174825,-0.009663,-0.152674,0.033649,0.114396,15.4132,6.8385,23.9915,53.7948,0.01429317,1
1998-03,0.0,0.17452,0.028864,-0.113923,-0.033705,0.143109,15.3366,6.6518,24.065,53.9523,-0.02434619,1
1998-04,0.123457,0.174216,0.0,-0.05695,0.033784,0.14292,15.337,6.5366,24.0879,54.0236,0.00370333,1
1998-05,0.246609,0.231884,0.057551,0.051123,0.033839,0.142505,15.3183,6.5438,24.161,54.0093,-0.03840942,1
1998-06,0.123001,0.173511,-0.009568,0.025789,0.0,0.085166,15.3379,6.6535,24.0829,53.9382,0.02161502,1
1998-07,0.2457,0.17321,0.038202,-0.019596,0.066907,0.113534,15.2999,6.767,23.9194,54.0139,0.04665201,1
1998-08,0.122549,0.288184,0.038155,-0.078142,0.049839,0.141893,15.3194,6.7267,23.8232,54.1178,-0.02919603,1
1998-09,0.0612,0.114943,0.009533,-0.051942,-0.066372,0.170151,15.3483,6.6291,23.8441,54.2215,-0.00017075,1
1998-10,0.244648,0.114811,0.085693,0.012934,0.0,0.113118,15.3391,6.5508,23.8984,54.24,0.03290387,1
1998-11,0.122026,0.229358,0.018996,-0.025402,-0.016706,0.169351,15.3871,6.4458,23.94,54.2488,-0.02421364,1
1998-12,0.182815,0.343249,0.018985,-0.063253,0.150461,0.112608,15.3966,6.3949,23.94,54.277,-0.03598549,1
1999-01,0.182482,0.114025,0.056978,-0.025151,0.049897,0.056228,15.4222,6.2941,23.9672,54.3165,0.04452905,1
1999-02,0.0,0.0,0.028542,-0.031233,-0.099206,0.084356,15.5078,6.228,23.8757,54.3813,0.01754202,1
1999-03,0.060716,0.056948,0.0,0.074633,-0.099499,0.140785,15.4606,6.1697,23.8466,54.5401,-0.05520233,1
1999-04,0.667476,0.341491,0.018878,0.315981,0.116377,0.168603,15.4137,6.2205,23.8075,54.5711,0.04763676,1
1999-05,0.060277,0.113443,0.028095,-0.037478,0.0,0.083563,15.3118,6.5898,23.7998,54.2605,-0.0139037,1
1999-06,0.0,0.056657,-0.009365,-0.025272,0.0,0.055623,15.3399,6.6275,23.7341,54.2605,-0.02098675,1
1999-07,0.421687,0.283126,0.01873,0.141111,0.049206,0.166955,15.3306,6.7028,23.6027,54.344,0.04568392,1
1999-08,0.239952,0.112931,0.028011,0.178485,-0.032524,0.083312,15.3033,6.8015,23.45,54.4029,-0.01733163,1
1999-09,0.418911,0.282008,0.037281,0.145931,0.113562,0.138592,15.3039,6.9476,23.3612,54.3834,-0.01645415,1
1999-10,0.178784,0.168729,0.037103,0.01258,0.016247,0.137651,15.2681,7.0325,23.5101,54.1518,-0.02479799,1
1999-11,0.178465,0.168445,0.027795,-0.030896,-0.065143,0.192465,15.2872,6.9207,23.5817,54.2202,0.05424414,1
1999-12,0.23753,0.168161,0.018496,0.142163,0.0,0.109693,15.2873,6.8918,23.5191,54.2704,-0.03282268,1
2000-01,0.296209,0.335758,0.009254,0.073329,-0.0162,0.246617,15.315,6.954,23.393,54.338,-0.016791,1
2000-02,0.413467,0.055772,0.055559,0.229716,0.0,0.082087,15.3343,6.9519,23.2267,54.5059,0.04610484,1
2000-03,0.588235,0.334448,0.027549,0.331899,0.048204,0.190887,15.2623,7.169,23.1863,54.4028,-0.01030413,1
2000-04,-0.05848,0.166667,0.018205,-0.203658,0.048075,0.108348,15.1557,7.4455,23.1722,54.2281,-0.02944968,1
2000-05,0.175541,0.221852,0.054551,-0.054713,0.0,0.162265,15.156,7.3498,23.2543,54.2505,0.01343925,1
2000-06,0.584112,0.221361,0.009087,0.417037,-0.031972,0.188806,15.2019,7.3595,23.1635,54.2681,0.00115429,1
2000-07,0.29036,0.220872,0.081304,0.03092,0.03163,0.160989,15.1225,7.8414,22.8842,54.1727,-0.01448261,1
2000-08,0.0,0.220386,0.03603,-0.215259,-0.01568,0.18757,15.1597,7.8293,22.7206,54.2614,0.00733903,1
2000-09,0.521135,0.219901,0.018036,0.331498,0.06272,0.107235,15.2138,7.5999,22.7048,54.4756,0.00164449,1
2000-10,0.172811,0.164564,0.008972,0.024281,-0.047122,0.133088,15.1529,7.8428,22.8072,54.1933,0.05359319,1
2000-11,0.172513,0.273823,0.017923,-0.023924,0.078835,0.159508,15.1447,7.7513,22.8464,54.2594,-0.05982908,1
2000-12,0.229621,0.10923,0.07148,0.053839,-0.015747,0.106018,15.1181,7.7289,22.896,54.2548,0.01403061,1
2001-01,0.572738,0.327332,0.026854,0.289292,0.031339,0.238423,15.217,7.681,22.768,54.334,-0.01317043,1
2001-02,0.22779,0.271887,0.080337,-0.052633,0.015518,0.15826,15.2015,7.8949,22.5782,54.3361,0.02630864,1
2001-03,0.056818,0.16269,0.044324,-0.140202,-0.01552,0.184348,15.1764,7.8338,22.597,54.4091,-0.01613144,1
2001-04,0.170358,0.216567,0.035358,0.034934,0.0,0.131505,15.1773,7.668,22.6542,54.5219,-0.03143853,1
2001-05,0.510204,0.10805,0.026383,0.361941,-0.062203,0.157029,15.1348,7.85,22.6263,54.3845,0.0270535,1
2001-06,0.225606,0.377766,0.061389,-0.08915,0.015428,0.260287,15.1193,8.2256,22.3861,54.2438,-0.02234751,1
2001-07,-0.168824,0.215054,0.043725,-0.439131,0.061228,0.129924,15.1375,8.2352,22.2257,54.4123,0.03542983,1
2001-08,0.0,0.160944,0.035078,-0.138112,-0.106785,0.234746,15.2241,7.7823,22.2114,54.7479,-0.02492712,1
2001-09,0.394589,0.214247,0.017539,0.215094,0.045795,0.10443,15.2592,7.606,22.1191,55.0346,0.01173029,1
2001-10,-0.280741,0.160342,0.052382,-0.473841,-0.030626,0.129706,15.2082,7.7532,22.2342,54.7876,0.0416383,1
2001-11,-0.056306,0.373533,0.00877,-0.349982,0.061712,0.260287,15.3296,7.1688,22.3708,55.1028,-0.03709381,1
2001-12,-0.056338,0.15949,-0.017529,-0.175077,-0.061816,0.156142,15.3292,6.8222,22.4701,55.3524,0.04194199,1
2002-01,0.169109,0.159236,0.050445,0.016378,-0.098731,0.233055,14.688,6.218,23.86,55.234,-0.03203732,1
2002-02,0.168824,0.211977,0.03365,-0.03813,-0.032745,0.206985,14.7471,6.2207,23.6416,55.4203,-0.00093664,1
2002-03,0.280899,0.052882,0.03346,0.222424,-0.065549,0.103326,14.6974,6.1573,23.6304,55.5378,-0.01276214,1
2002-04,0.448179,0.264271,0.024926,0.21147,0.049159,0.154408,14.6318,6.3766,23.5635,55.4326,0.00821532,1
2002-05,0.111545,0.158144,-0.049519,0.022068,-0.048952,0.153407,14.5587,6.7032,23.5134,55.2264,0.03454177,1
2002-06,0.05571,0.105263,0.008263,-0.016591,0.0,0.102129,14.5256,6.7416,23.4,55.303,-0.03809018,1
2002-07,0.222717,0.157729,0.016507,0.045049,-0.016151,0.178791,14.5176,6.8475,23.225,55.4253,-0.00147947,1
2002-08,0.277778,0.314961,0.0,0.039305,0.032086,0.204199,14.5179,6.8728,23.0536,55.5677,0.00218766,1
2002-09,0.166205,0.104657,0.032867,0.033467,-0.032002,0.127316,14.4697,6.8663,23.0255,55.6373,0.00455646,1
2002-10,0.221239,0.104548,-0.008203,0.177754,-0.064345,0.126757,14.4786,6.8713,23.1161,55.5197,-0.01072354,1
2002-11,0.165563,0.208877,0.040994,-0.010786,-0.048415,0.177247,14.4628,6.8436,23.126,55.5797,0.00652149,1
2002-12,0.165289,0.104221,0.016379,0.02152,-0.048415,0.126375,14.4874,6.8164,23.0778,55.6557,0.04942992,1
2003-01,0.440044,0.156169,0.0,0.338527,-0.048237,0.202187,14.5539,6.7229,22.9448,55.7784,-0.0524332,1
2003-02,0.547645,0.051975,0.081909,0.37847,-0.047856,0.075624,14.5061,6.9213,22.7155,55.836,0.05949748,1
2003-03,0.163399,0.0,0.024357,0.160592,-0.047724,0.050167,14.4601,7.294,22.6054,55.6348,-0.02399266,1
2003-04,-0.380642,0.0,0.008071,-0.392677,-0.031805,0.049934,14.3979,7.636,22.5495,55.4271,-0.01416525,1
2003-05,-0.163755,0.207792,0.024224,-0.385486,-0.079741,0.225092,14.4131,7.4111,22.5827,55.5727,0.05215568,1
2003-06,0.109349,0.05184,0.072831,0.022265,0.0,0.050035,14.469,7.2028,22.4927,55.8137,-0.03578129,1
2003-07,0.32769,0.207254,0.008079,0.135517,0.0,0.175087,14.5179,7.3292,22.3255,55.8529,0.00900621,1
2003-08,0.435493,0.103413,0.056491,0.31081,-0.047113,0.099985,14.5102,7.3373,22.1587,55.9918,0.01531829,1
2003-09,0.325203,0.051653,0.032158,0.278041,-0.093934,0.124618,14.5115,7.5126,22.0431,55.9287,-0.01568108,1
2003-10,-0.10805,0.154879,0.056064,-0.274852,-0.078639,0.198302,14.4886,7.7013,22.0503,55.7475,-0.00892427,1
2003-11,0.054083,0.0,0.080311,-0.047672,-0.047471,0.074476,14.5845,7.299,22.1056,56.0311,-0.00556176,1
2003-12,0.27027,0.103093,0.072357,0.098757,-0.015844,0.124189,14.6803,7.1157,22.0866,56.1332,-0.00918741,1
2004-01,0.431267,0.205973,-0.007838,0.260144,0.0,0.149094,14.383,7.08,22.254,56.283,0.02986686,1
2004-02,0.214707,0.154162,0.039064,0.09698,0.015841,0.07435,14.3287,7.345,22.0662,56.2827,-0.01152694,1
2004-03,0.214247,0.30785,0.023287,-0.035891,0.031671,0.222438,14.275,7.4756,22.0745,56.2028,-0.02725744,1
2004-04,0.160342,0.204604,0.030851,-0.088572,0.0,0.172276,14.2067,7.5599,22.0906,56.1865,0.04578726,1
2004-05,0.426894,0.153139,0.115133,0.22503,0.015796,0.122554,14.169,7.6832,22.0514,56.1296,-0.05161872,1
2004-06,0.371945,0.203874,0.022905,0.213173,-0.01566,0.121681,14.2088,8.0678,21.8764,55.8517,0.02984476,1
2004-07,0.105876,0.101729,0.030427,-0.022005,-0.046596,0.121349,14.1791,8.3345,21.6827,55.8205,0.02270142,1
2004-08,0.052882,0.050813,0.015246,0.021628,-0.046368,0.097359,14.2396,8.17,21.5301,56.1033,-0.03498325,1
2004-09,0.317125,0.304723,-0.007611,0.074976,0.06188,0.170288,14.2321,8.1134,21.5032,56.1707,0.01759195,1
2004-10,0.52687,0.202532,0.068353,0.299883,0.062152,0.096893,14.1945,8.0442,21.6599,56.1009,-0.00040942,1
2004-11,0.471698,0.202122,0.045402,0.268145,0.062136,0.120533,14.2109,8.1784,21.7165,55.9275,-0.02451805,1
2004-12,0.0,0.151286,0.0,-0.075282,-0.015493,0.096086,14.2262,8.2208,21.7205,55.85,-0.00531167,1
2005-01,-0.052165,0.20141,0.022763,-0.251104,0.046411,0.144371,14.295,7.991,21.674,56.04,-0.01460618,1
2005-02,0.417537,0.201005,-0.007584,0.23061,-0.015394,0.168371,14.3104,7.8809,21.6131,56.1636,0.04153345,1
2005-03,0.363825,0.351053,0.037661,0.084116,0.0,0.263855,14.2058,8.0059,21.5814,56.1772,-0.02180714,1
2005-04,0.31072,0.049975,0.097056,0.161084,-0.01535,0.071493,14.1179,8.2304,21.536,56.0743,-0.0035633,1
2005-05,-0.051626,0.14985,0.014816,-0.177218,0.045807,0.071015,14.1052,8.6889,21.4073,55.7706,-0.00604691,1
2005-06,0.051653,0.049875,-0.007424,0.021118,-0.030483,0.070968,14.1494,8.6215,21.4142,55.8043,-0.00252665,1
2005-07,0.619515,0.149551,0.029664,0.484674,-0.030273,0.141983,14.1273,8.7188,21.2363,55.8939,-0.00653314,1
2005-08,0.6157,0.099552,0.014764,0.559654,-0.01497,0.070783,14.0918,9.0382,20.9724,55.8718,-0.0145312,1
2005-09,1.376849,0.099453,0.029361,1.26531,0.029829,0.070423,14.0274,9.4002,20.8806,55.6575,-0.01807554,1
2005-10,0.150905,0.34774,0.036278,-0.114356,0.014841,0.208191,13.8943,10.3517,20.8067,54.9162,0.00595229,1
2005-11,-0.50226,0.247525,0.043491,-0.734302,0.014885,0.20786,13.9171,10.1472,20.8834,55.0368,-0.03419379,1
2005-12,0.0,0.148148,0.021887,-0.167208,-0.014973,0.139287,14.0517,9.3932,21.0226,55.529,0.02100738,1
2006-01,0.605755,0.197239,0.050593,0.416654,0.031816,0.114792,13.9419,8.6849,22.3188,55.0544,-0.00809971,1
2006-02,0.050176,0.19685,0.007191,-0.115388,-0.031485,0.182661,13.9225,9.0741,22.1183,54.8669,0.0071962,1
2006-03,0.150451,0.343811,0.021508,-0.096374,0.047335,0.205594,13.8873,8.9077,22.1369,55.0763,-0.02761159,1
