date,headline,core,contrib_food,contrib_energy,contrib_core_goods,contrib_core_services,weight_food,weight_energy,weight_core_goods,weight_core_services,residual,span_months
1991-12,3.064275,4.410701,0.301565,-0.610047,0.978771,2.347895,16.188,8.191,24.528,51.093,0.04609143,12
1992-01,2.600297,3.945481,0.167873,-0.517677,0.817281,2.194601,16.2836,7.9205,24.499,51.2422,-0.06178017,12
1992-02,2.818991,3.777619,0.239462,-0.280608,0.718917,2.121778,16.2236,7.5912,24.7346,51.4444,0.01944114,12
1992-03,3.185185,3.903478,0.274974,-0.058988,0.776057,2.188098,16.2354,7.3514,24.8532,51.5419,0.0050448,12
1992-04,3.180473,3.897945,0.167128,0.0,0.736163,2.219542,16.3188,7.3258,24.9133,51.4656,0.05764109,12
1992-05,3.023599,3.821656,0.071415,0.022023,0.753307,2.178416,16.2826,7.495,24.8591,51.3484,-0.00156187,12
1992-06,3.088235,3.816254,0.023735,0.175662,0.751092,2.137533,16.2822,7.5754,24.709,51.4042,0.00021399,12
1992-07,3.157122,3.732394,0.08295,0.241181,0.749989,2.065543,16.1753,7.5058,24.6342,51.673,0.01745979,12
1992-08,3.147877,3.503854,0.236307,0.182178,0.671096,2.025169,16.0689,7.4984,24.6772,51.7276,0.03312769,12
1992-09,2.988338,3.277545,0.294092,0.16687,0.62998,1.879614,15.9986,7.5164,24.7792,51.7065,0.01778217,12
1992-10,3.202329,3.544128,0.293664,0.195606,0.667188,2.013378,15.9518,7.3751,24.8575,51.8018,0.03249295,12
1992-11,3.047896,3.393352,0.245961,0.195038,0.627237,2.007533,15.9524,7.3537,24.8804,51.7535,-0.02787509,12
1992-12,2.900653,3.3241,0.234189,0.144474,0.626994,1.938952,16.0068,7.3609,24.7568,51.8755,-0.04395635,12
1993-01,3.258508,3.450656,0.304005,0.238036,0.66403,2.004079,16.0421,7.2204,24.683,52.1061,0.04835747,12
1993-02,3.246753,3.571429,0.279608,0.22999,0.699443,2.064539,16.0192,7.1153,24.764,52.1212,-0.02682665,12
1993-03,3.086863,3.415301,0.231836,0.257439,0.639501,1.95314,16.0083,7.0724,24.8465,52.095,0.00494703,12
1993-04,3.225806,3.478854,0.289379,0.25707,0.676148,1.983967,15.9853,7.1051,24.8672,52.0539,0.01924296,12
1993-05,3.221188,3.408316,0.427668,0.142612,0.581405,2.081862,15.8815,7.3017,24.8691,51.9794,-0.0123583,12
1993-06,2.99572,3.335602,0.345521,0.042631,0.504579,2.074437,15.8249,7.5244,24.7057,51.9613,0.0285522,12
1993-07,2.775801,3.190767,0.356276,-0.01418,0.447557,2.03662,15.7681,7.5154,24.6156,52.1174,-0.05047282,12
1993-08,2.767921,3.317536,0.320884,-0.01414,0.483477,2.064131,15.815,7.4516,24.5829,52.136,-0.08643206,12
1993-09,2.689314,3.241053,0.29712,-0.049349,0.370853,2.091486,15.8274,7.4658,24.6802,52.0548,-0.02079648,12
1993-10,2.750353,3.020134,0.375785,0.063225,0.388022,1.951787,15.7488,7.3411,24.741,52.1689,-0.02846592,12
1993-11,2.676056,3.081045,0.40937,-0.056121,0.405927,1.949038,15.7266,7.3308,24.7615,52.1946,-0.03215692,12
1993-12,2.748414,3.150134,0.454996,-0.105303,0.387557,2.015583,15.777,7.294,24.656,52.273,-0.00441917,12
1994-01,2.524544,2.93529,0.441444,-0.146701,0.330561,1.907049,15.8241,7.2233,24.535,52.3781,-0.00780863,12
1994-02,2.515723,2.785146,0.338386,-0.013923,0.201304,1.933151,15.7801,7.1145,24.6505,52.4572,0.0568059,12
1994-03,2.506964,2.906209,0.348448,-0.041623,0.255313,1.991722,15.7476,7.1105,24.7106,52.4051,-0.04689592,12
1994-04,2.361111,2.768622,0.313853,-0.076096,0.218231,1.921069,15.7599,7.1323,24.7329,52.3247,-0.01594542,12
1994-05,2.288488,2.834542,0.268644,-0.103624,0.326893,1.820858,15.794,7.2122,24.6441,52.3497,-0.02428297,12
1994-06,2.493075,2.898551,0.346517,-0.055189,0.435254,1.818336,15.6939,7.3471,24.4649,52.4395,-0.05184309,12
1994-07,2.770083,2.894737,0.435941,0.068987,0.435254,1.785866,15.6827,7.2988,24.3742,52.6668,0.04403563,12
1994-08,2.900552,2.883355,0.445884,0.227027,0.36171,1.845694,15.6951,7.2374,24.3792,52.7156,0.02023805,12
1994-09,2.963473,3.008502,0.433838,0.205962,0.46925,1.841878,15.696,7.2224,24.383,52.7036,0.0125459,12
1994-10,2.608099,2.931596,0.37666,0.027348,0.413397,1.834293,15.6868,7.2063,24.4443,52.6474,-0.04359911,12
1994-11,2.674897,2.794022,0.376402,0.136649,0.359229,1.833035,15.7092,7.0852,24.4994,52.7078,-0.03041665,12
1994-12,2.674897,2.59909,0.453931,0.157069,0.341202,1.704484,15.799,6.993,24.369,52.839,0.01821137,12
1995-01,2.804378,2.851588,0.419565,0.197502,0.411904,1.828109,15.8662,6.899,24.2486,52.951,-0.05270228,12
1995-02,2.862986,2.967742,0.49516,0.115382,0.464043,1.821878,15.7241,6.9229,24.2373,53.0582,-0.03347822,12
1995-03,2.853261,2.952503,0.46058,0.087934,0.44468,1.847544,15.7036,6.8927,24.3507,53.0691,0.01252363,12
1995-04,3.052917,3.078897,0.547565,0.128344,0.444077,1.94047,15.7042,6.8901,24.3709,52.9971,-0.00753872,12
1995-05,3.186441,3.076923,0.525306,0.229513,0.372771,2.002733,15.7045,6.9462,24.4077,52.9612,0.05611672,12
1995-06,3.040541,3.008963,0.479904,0.242193,0.283057,1.995967,15.6514,7.1111,24.2898,52.9407,0.0394197,12
1995-07,2.762803,3.005115,0.424223,0.087223,0.264651,2.022184,15.6854,7.1657,24.1361,52.9875,-0.03547662,12
1995-08,2.61745,2.929936,0.390013,-0.073507,0.369019,1.919633,15.6872,7.2504,24.0389,53.0259,0.01229186,12
1995-09,2.543507,2.920635,0.421383,-0.133291,0.350505,1.914493,15.6668,7.211,24.1323,52.9781,-0.00958336,12
1995-10,2.809365,3.037975,0.475089,-0.086581,0.385298,1.975941,15.6563,7.0464,24.2212,53.0995,0.05961825,12
1995-11,2.60521,3.034134,0.442105,-0.192884,0.402273,1.910656,15.6678,7.0303,24.2064,53.1225,0.04306027,12
1995-12,2.53841,3.039899,0.334454,-0.093133,0.420035,1.910386,15.838,6.965,24.082,53.115,-0.03333185,12
1996-01,2.727878,2.961563,0.376102,0.053006,0.453221,1.809182,15.85,6.9041,24.0033,53.2773,0.03636691,12
1996-02,2.650762,2.882206,0.363903,0.079193,0.416695,1.833057,15.7763,6.8436,24.0294,53.3451,-0.04208567,12
1996-03,2.840159,2.805486,0.448043,0.190752,0.432623,1.765071,15.7242,6.7881,24.1231,53.3856,0.00366985,12
1996-04,2.896643,2.675793,0.41467,0.399916,0.396703,1.697532,15.7787,6.8117,24.0954,53.3025,-0.0121791,12
1996-05,2.890933,2.674129,0.39263,0.431843,0.361494,1.694186,15.737,6.9553,24.0307,53.2591,0.01078074,12
1996-06,2.754098,2.672467,0.497765,0.248148,0.360782,1.721596,15.6637,7.1375,23.8632,53.308,-0.07419262,12
1996-07,2.95082,2.731223,0.540128,0.287329,0.343602,1.783082,15.6849,7.0591,23.7601,53.5232,-0.00332092,12
1996-08,2.877698,2.59901,0.559841,0.273551,0.239892,1.778417,15.6755,6.9951,23.8008,53.5365,0.02599673,12
1996-09,3.002611,2.652684,0.600914,0.35752,0.290727,1.774935,15.6976,6.9034,23.891,53.5235,-0.0214848,12
1996-10,2.992843,2.579853,0.630483,0.388753,0.25569,1.708155,15.699,6.7708,23.9496,53.5629,0.00976237,12
1996-11,3.255208,2.576687,0.683468,0.538125,0.255856,1.73979,15.7093,6.665,23.9993,53.6283,0.03796934,12
1996-12,3.322476,2.642901,0.673138,0.577256,0.255913,1.770982,15.7662,6.7001,23.8852,53.6485,0.04518579,12
1997-01,3.044041,2.50918,0.575106,0.535202,0.203537,1.760659,15.7893,6.7706,23.7969,53.609,-0.03046304,12
1997-02,3.034216,2.496955,0.594095,0.527047,0.236694,1.664201,15.7175,6.7423,23.8046,53.7386,0.01217848,12
1997-03,2.761721,2.486355,0.518459,0.326113,0.185018,1.715856,15.7197,6.7844,23.8673,53.613,0.01627563,12
1997-04,2.495202,2.666667,0.444163,0.0,0.251329,1.769243,15.7316,7.0068,23.7925,53.4371,0.03046687,12
1997-05,2.234994,2.543913,0.474241,-0.190729,0.26757,1.705994,15.6706,7.1778,23.6967,53.3946,-0.02208278,12
1997-06,2.297384,2.421308,0.41212,-0.050829,0.20055,1.674995,15.7224,7.1859,23.5646,53.54,0.06054739,12
1997-07,2.229299,2.416918,0.390766,-0.069756,0.200167,1.641941,15.754,7.1341,23.4028,53.7064,0.06618183,12
1997-08,2.225048,2.291918,0.400284,0.056964,0.149839,1.609013,15.7753,7.0635,23.3582,53.753,0.00894783,12
1997-09,2.154626,2.163462,0.337629,0.138804,0.099576,1.574213,15.8174,7.0475,23.4667,53.6717,0.00440454,12
1997-10,2.084649,2.275449,0.285568,0.062894,0.115805,1.628457,15.849,6.9497,23.4919,53.6503,-0.00807415,12
1997-11,1.828499,2.15311,0.264669,-0.02511,0.099074,1.566272,15.8699,6.9743,23.4804,53.6079,-0.07640522,12
1997-12,1.702396,2.215569,0.244345,-0.238736,0.09907,1.596912,15.913,7.049,23.364,53.674,0.0008043,12
1998-01,1.571339,2.208955,0.345068,-0.463446,0.082299,1.621373,15.8833,7.0957,23.2906,53.7706,-0.0139554,12
1998-02,1.441103,2.257873,0.293401,-0.618074,0.082041,1.675068,15.8335,7.061,23.3325,53.8079,0.00866625,12
1998-03,1.375,2.130178,0.312851,-0.597846,0.016367,1.641567,15.804,6.925,23.4051,53.8786,0.00206038,12
