date,headline,core,contrib_food_home,contrib_food_away,contrib_energy_cmdty,contrib_energy_svc,contrib_core_goods,contrib_shelter,contrib_supercore,weight_food_home,weight_food_away,weight_energy_cmdty,weight_energy_svc,weight_core_goods,weight_shelter,weight_supercore,residual,span_months
1991-01,0.372578,0.649351,0.045062,0.008975,-0.256754,0.072269,0.214986,0.181565,0.135269,10.094,6.094,4.571,3.62,24.528,27.035,24.058,-0.02879427,1
1991-02,0.074239,0.501792,0.0,0.013373,-0.305086,0.013148,0.13546,0.072389,0.156221,10.229,6.0622,4.2293,3.6946,24.499,27.1278,24.1196,-0.01126598,1
1991-03,0.0,0.21398,0.015054,0.008908,-0.189559,-0.00327,0.03886,0.072378,0.059643,10.1614,6.0711,3.9011,3.6891,24.7346,27.1961,24.2527,-0.00201416,1
1991-04,0.222552,0.284698,0.075213,0.022254,-0.022616,-0.029232,0.077971,0.072367,0.04797,10.1688,6.0754,3.6901,3.6605,24.8532,27.2641,24.2586,-0.02137477,1
1991-05,0.370096,0.283889,0.037549,0.022238,0.049643,0.022596,0.077915,0.054051,0.10811,10.2284,6.0931,3.7156,3.6089,24.9133,27.2238,24.2315,-0.00200611,1
1991-06,0.294985,0.353857,0.074548,0.013294,-0.042706,-0.029339,0.038752,0.071713,0.122363,10.1908,6.0929,3.828,3.6673,24.8591,27.1435,24.2029,0.04635934,1
1991-07,0.147059,0.352609,-0.103682,0.022107,-0.066682,0.030255,0.096144,0.071597,0.137255,10.1979,6.0926,3.8244,3.7516,24.709,27.1712,24.2226,-0.03993513,1
1991-08,0.293686,0.421644,-0.073948,0.013245,0.050675,-0.016795,0.095482,0.071822,0.128304,10.0792,6.1057,3.7344,3.7789,24.6342,27.3282,24.3215,0.02490198,1
1991-09,0.292826,0.349895,0.007368,0.013206,0.00774,0.020062,0.057167,0.089572,0.128181,9.9684,6.101,3.7579,3.745,24.6772,27.3374,24.3842,-0.03047019,1
1991-10,0.145985,0.209205,-0.02932,0.008759,-0.015475,0.020007,0.01909,0.088947,0.053984,9.9248,6.0831,3.7643,3.7546,24.7792,27.2356,24.4728,-6.57e-06,1
1991-11,0.437318,0.347947,0.05851,0.008746,0.053702,0.006475,0.095679,0.106442,0.085637,9.8736,6.083,3.717,3.6647,24.8575,27.2492,24.5216,0.02212525,1
1991-12,0.290276,0.346741,0.014564,0.013081,0.030594,0.019043,0.03816,0.105858,0.090955,9.8889,6.0741,3.7593,3.5991,24.8804,27.2054,24.5421,-0.02197995,1
1992-01,0.072359,0.276434,-0.058362,0.008718,-0.101433,-0.009574,0.037912,0.070472,0.064552,9.9215,6.0853,3.723,3.638,24.7568,27.2725,24.6025,0.06007328,1
1992-02,0.21692,0.206754,0.059012,0.008699,-0.014829,-0.006413,0.037742,0.070643,0.116495,9.973,6.0809,3.5737,3.6456,24.683,27.4096,24.6822,-0.05442973,1
