date,headline,core,contrib_food_home,contrib_food_away,contrib_energy_cmdty,contrib_energy_svc,contrib_core_goods,contrib_shelter,contrib_supercore,weight_food_home,weight_food_away,weight_energy_cmdty,weight_energy_svc,weight_core_goods,weight_shelter,weight_supercore,residual,span_months
1991-12,3.064275,4.410701,0.12825,0.175141,-0.734485,0.126667,0.978771,1.056624,1.291264,10.094,6.094,4.571,3.62,24.528,27.035,24.058,0.04204486,12
1992-01,2.600297,3.945481,0.0,0.1741,-0.563124,0.043076,0.817281,0.977906,1.197287,10.229,6.0622,4.2293,3.6946,24.499,27.1278,24.1196,-0.04622801,12
1992-02,2.818991,3.777619,0.067393,0.164927,-0.294717,0.016543,0.718917,0.976455,1.146917,10.1614,6.0711,3.9011,3.6891,24.7346,27.1961,24.2527,0.02255523,12
1992-03,3.185185,3.903478,0.112156,0.160231,-0.077442,0.023126,0.776057,0.993065,1.194824,10.1688,6.0754,3.6901,3.6605,24.8532,27.2641,24.2586,0.00316964,12
1992-04,3.180473,3.897945,0.029864,0.137773,-0.057996,0.062678,0.736163,0.955538,1.28444,10.2284,6.0931,3.7156,3.6089,24.9133,27.2238,24.2315,0.03201388,12
1992-05,3.023599,3.821656,-0.052108,0.128504,-0.026985,0.049336,0.753307,0.934743,1.237843,10.1908,6.0929,3.828,3.6673,24.8591,27.1435,24.2029,-0.00104257,12
1992-06,3.088235,3.816254,-0.096487,0.123708,0.080716,0.098382,0.751092,0.985763,1.147812,10.1979,6.0926,3.8244,3.7516,24.709,27.1712,24.2226,-0.00275054,12
1992-07,3.157122,3.732394,-0.022233,0.10588,0.165034,0.072041,0.749989,0.948522,1.135178,10.0792,6.1057,3.7344,3.7789,24.6342,27.3282,24.3215,0.00271255,12
1992-08,3.147877,3.503854,0.147789,0.101171,0.088015,0.09142,0.671096,0.945744,1.093745,9.9684,6.101,3.7579,3.745,24.6772,27.3374,24.3842,0.0088958,12
1992-09,2.988338,3.277545,0.183929,0.100729,0.06477,0.097522,0.62998,0.835011,1.027149,9.9248,6.0831,3.7643,3.7546,24.7792,27.2356,24.4728,0.04924821,12
1992-10,3.202329,3.544128,0.2057,0.096209,0.11033,0.08115,0.667188,0.887017,1.133936,9.8736,6.083,3.717,3.6647,24.8575,27.2492,24.5216,0.02079924,12
