dec_year,basis,node,official,estimated,est_minus_official,official_rolled,rolled_minus_official
1987,new,headline,100.0,100.0,0.0,,
1987,new,core,76.327,,,,
1987,new,food,16.055,,,,
1987,new,energy,7.618,,,,
1987,new,core_goods,25.76,,,,
1987,new,core_services,50.567,,,,
1987,new,commodities,45.531,,,,
1987,new,services,54.469,,,,
1987,new,food_home,9.864,,,,
1987,new,food_away,6.192,,,,
1987,new,energy_cmdty,3.716,,,,
1987,new,energy_svc,3.902,,,,
1987,new,rent_shelter,27.151,,,,
1987,new,svc_less_ros,27.318,,,,
1988,new,headline,100.0,100.0,0.0,,
1988,new,core,76.499,,,,
1988,new,food,16.171,,,,
1988,new,energy,7.33,,,,
1988,new,core_goods,25.65,,,,
1988,new,core_services,50.849,,,,
1988,new,commodities,45.298,,,,
1988,new,services,54.702,,,,
1988,new,food_home,9.98,,,,
1988,new,food_away,6.192,,,,
1988,new,energy_cmdty,3.477,,,,
1988,new,energy_svc,3.853,,,,
1988,new,rent_shelter,27.177,,,,
1988,new,svc_less_ros,27.525,,,,
1989,new,headline,100.0,100.0,0.0,,
1989,new,core,76.315,,,,
1989,new,food,16.318,,,,
1989,new,energy,7.366,,,,
1989,new,core_goods,25.188,,,,
1989,new,core_services,51.127,,,,
1989,new,commodities,45.088,,,,
1989,new,services,54.912,,,,
1989,new,food_home,10.129,,,,
1989,new,food_away,6.189,,,,
1989,new,energy_cmdty,3.581,,,,
1989,new,energy_svc,3.785,,,,
1989,new,rent_shelter,27.263,,,,
1989,new,svc_less_ros,27.649,,,,
1990,new,headline,100.0,100.0,0.0,,
1990,new,core,75.622,,,,
1990,new,food,16.188,16.2289,0.0409,,
1990,new,energy,8.191,7.979,-0.212,,
1990,new,core_goods,24.528,22.3814,-2.1466,,
1990,new,core_services,51.093,53.4107,2.3177,,
1990,new,commodities,45.287,44.564,-0.723,,
1990,new,services,54.713,55.436,0.723,,
1990,new,food_home,10.094,10.1373,0.0433,,
1990,new,food_away,6.094,6.0916,-0.0024,,
1990,new,energy_cmdty,4.571,4.4656,-0.1054,,
1990,new,energy_svc,3.62,3.5134,-0.1066,,
1990,new,rent_shelter,27.035,26.1035,-0.9315,,
1990,new,svc_less_ros,27.678,29.3325,1.6545,,
1991,new,headline,100.0,100.0,0.0,,
1991,new,core,76.633,,,,
1991,new,food,16.007,16.4327,0.4257,,
1991,new,energy,7.361,7.8409,0.4799,,
1991,new,core_goods,24.757,25.8089,1.0519,,
1991,new,core_services,51.876,49.9175,-1.9585,,
1991,new,commodities,44.487,45.8601,1.3731,,
1991,new,services,55.513,54.1399,-1.3731,,
1991,new,food_home,9.921,10.1216,0.2006,,
1991,new,food_away,6.085,6.3111,0.2261,,
